,permno,ticker,date,ret,prc,vol,shrout,adj_prc,adj_ret
0,14593,AAPL,2014-01-02,-0.014064,553.13,8338094.0,892447.0,19.75464285714286,-0.39379200000000003
1,14593,AAPL,2014-01-03,-0.021966,540.97998,13992006.0,892447.0,19.32071357142857,-0.615048
2,14593,AAPL,2014-01-06,0.005453,543.92999,14820614.0,892447.0,19.42607107142857,0.15268400000000001
3,14593,AAPL,2014-01-07,-0.007156,540.03748,11381939.0,892447.0,19.287052857142857,-0.200368
4,14593,AAPL,2014-01-08,0.006338,543.46002,9199689.0,892447.0,19.409286428571427,0.177464
5,14593,AAPL,2014-01-09,-0.012772,536.51898,9938497.0,892447.0,19.161392142857146,-0.357616
6,14593,AAPL,2014-01-10,-0.006671,532.94,10839168.0,891989.0,19.03357142857143,-0.186788
7,14593,AAPL,2014-01-13,0.005235,535.72998,13474914.0,891989.0,19.13321357142857,0.14658
8,14593,AAPL,2014-01-14,0.019898,546.39001,12687522.0,891989.0,19.513928928571428,0.557144
9,14593,AAPL,2014-01-15,0.020077,557.35999,14026613.0,891989.0,19.90571392857143,0.562156
10,14593,AAPL,2014-01-16,-0.00558,554.25,8160230.0,891989.0,19.794642857142858,-0.15624
11,14593,AAPL,2014-01-17,-0.024502,540.66998,15414978.0,891989.0,19.309642142857143,-0.686056
12,14593,AAPL,2014-01-21,0.015536,549.07001,11677186.0,891989.0,19.609643214285715,0.435008
13,14593,AAPL,2014-01-22,0.004444,551.51001,13528022.0,891989.0,19.69678607142857,0.124432
14,14593,AAPL,2014-01-23,0.008468,556.17999,14303549.0,891989.0,19.86357107142857,0.23710399999999998
15,14593,AAPL,2014-01-24,-0.018178,546.07001,15437662.0,891989.0,19.502500357142857,-0.508984
16,14593,AAPL,2014-01-27,0.008113,550.5,20551564.0,891989.0,19.660714285714285,0.227164
17,14593,AAPL,2014-01-28,-0.079927,506.5,38174933.0,891989.0,18.089285714285715,-2.237956
18,14593,AAPL,2014-01-29,-0.011352,500.75,18053678.0,891989.0,17.883928571428573,-0.31785599999999997
19,14593,AAPL,2014-01-30,-0.001933,499.78201,26588662.0,891989.0,17.8493575,-0.054124
20,14593,AAPL,2014-01-31,0.001637,500.60001,18220292.0,891989.0,17.878571785714286,0.045836
21,14593,AAPL,2014-02-03,0.001858,501.53,14374466.0,891989.0,17.911785714285713,0.052024
22,14593,AAPL,2014-02-04,0.014476,508.79001,13762649.0,891989.0,18.171071785714286,0.40532799999999997
23,14593,AAPL,2014-02-05,0.007469,512.59003,12037845.0,891989.0,18.306786785714284,0.20913199999999998
24,14593,AAPL,2014-02-06,0.005794,512.51001,9225014.0,891989.0,18.303928928571427,0.162232
25,14593,AAPL,2014-02-07,0.01399,519.67999,13377043.0,891989.0,18.559999642857143,0.39172
26,14593,AAPL,2014-02-10,0.017915,528.98999,12350146.0,891989.0,18.892499642857143,0.50162
27,14593,AAPL,2014-02-11,0.013176,535.96002,10108240.0,891989.0,19.141429285714285,0.36892800000000003
28,14593,AAPL,2014-02-12,-7.5e-05,535.91998,11046152.0,891989.0,19.139999285714286,-0.0021
29,14593,AAPL,2014-02-13,0.015879,544.42999,10994308.0,891989.0,19.443928214285712,0.444612
30,14593,AAPL,2014-02-14,-0.000808,543.98999,9781372.0,891989.0,19.42821392857143,-0.022624000000000002
31,14593,AAPL,2014-02-18,0.003677,545.98999,9329464.0,891989.0,19.4996425,0.102956
32,14593,AAPL,2014-02-19,-0.015788,537.37,11221250.0,891989.0,19.191785714285714,-0.442064
33,14593,AAPL,2014-02-20,-0.011575,531.15002,10932729.0,891989.0,18.969643571428573,-0.3241
34,14593,AAPL,2014-02-21,-0.011108,525.25,9965331.0,891989.0,18.758928571428573,-0.31102399999999997
35,14593,AAPL,2014-02-24,0.004379,527.54999,10337850.0,891989.0,18.84107107142857,0.122612
36,14593,AAPL,2014-02-25,-0.010407,522.06,8321060.0,891989.0,18.645,-0.291396
37,14593,AAPL,2014-02-26,-0.009022,517.34998,9876081.0,891989.0,18.476785,-0.252616
38,14593,AAPL,2014-02-27,0.019948,527.66998,10793903.0,891989.0,18.845356428571428,0.558544
39,14593,AAPL,2014-02-28,-0.00271,526.23999,13296879.0,891989.0,18.794285357142858,-0.07588
40,14593,AAPL,2014-03-03,0.002888,527.76001,8612772.0,891989.0,18.848571785714284,0.08086399999999999
41,14593,AAPL,2014-03-04,0.006594,531.23999,9270562.0,891989.0,18.97285678571429,0.184632
42,14593,AAPL,2014-03-05,0.002108,532.35999,7352217.0,891989.0,19.012856785714288,0.059024
43,14593,AAPL,2014-03-06,-0.003024,530.75,6631873.0,891989.0,18.955357142857142,-0.08467200000000001
44,14593,AAPL,2014-03-07,-0.000584,530.44,7926663.0,891989.0,18.944285714285716,-0.016352
45,14593,AAPL,2014-03-10,0.000905,530.91998,6384500.0,891989.0,18.96142785714286,0.02534
46,14593,AAPL,2014-03-11,0.009738,536.09003,10028407.0,891989.0,19.1460725,0.272664
47,14593,AAPL,2014-03-12,0.00097,536.60999,7170808.0,891989.0,19.164642500000003,0.02716
48,14593,AAPL,2014-03-13,-0.011107,530.65002,9205087.0,891989.0,18.95178642857143,-0.310996
49,14593,AAPL,2014-03-14,-0.011232,524.69,8471356.0,891989.0,18.738928571428573,-0.314496
50,14593,AAPL,2014-03-17,0.003907,526.73999,7126794.0,891989.0,18.8121425,0.109396
51,14593,AAPL,2014-03-18,0.008847,531.40002,7493109.0,891989.0,18.978572142857143,0.24771600000000002
52,14593,AAPL,2014-03-19,-0.000263,531.26001,8026994.0,891989.0,18.973571785714284,-0.007364
53,14593,AAPL,2014-03-20,-0.004819,528.70001,7457791.0,891989.0,18.882143214285716,-0.134932
54,14593,AAPL,2014-03-21,0.007887,532.87,13373167.0,891989.0,19.03107142857143,0.220836
55,14593,AAPL,2014-03-24,0.01186,539.19,12703553.0,891989.0,19.256785714285716,0.33208000000000004
56,14593,AAPL,2014-03-25,0.010757,544.98999,10426908.0,891989.0,19.463928214285716,0.30119599999999996
57,14593,AAPL,2014-03-26,-0.00956,539.78003,10706032.0,891989.0,19.277858214285715,-0.26768000000000003
58,14593,AAPL,2014-03-27,-0.004298,537.46002,7930475.0,891989.0,19.195000714285715,-0.12034399999999999
59,14593,AAPL,2014-03-28,-0.001116,536.85999,7163009.0,861745.0,19.173571071428572,-0.031248
60,14593,AAPL,2014-03-31,-0.000224,536.73999,6023884.0,861745.0,19.169285357142858,-0.006272
61,14593,AAPL,2014-04-01,0.009148,541.65002,7180892.0,861745.0,19.344643571428573,0.256144
62,14593,AAPL,2014-04-02,0.001662,542.54999,6443626.0,861745.0,19.376785357142857,0.046536
63,14593,AAPL,2014-04-03,-0.00693,538.78998,5806940.0,861745.0,19.242499285714285,-0.19404000000000002
64,14593,AAPL,2014-04-04,-0.012936,531.82001,9830355.0,861745.0,18.993571785714288,-0.362208
65,14593,AAPL,2014-04-07,-0.015701,523.46997,10379923.0,861745.0,18.69535607142857,-0.439628
66,14593,AAPL,2014-04-08,-5.7e-05,523.44,8710269.0,861745.0,18.694285714285716,-0.0015960000000000002
67,14593,AAPL,2014-04-09,0.013144,530.32001,7363246.0,861745.0,18.940000357142857,0.36803199999999997
68,14593,AAPL,2014-04-10,-0.012898,523.47998,8559074.0,861745.0,18.69571357142857,-0.361144
